Method,K,time_cost
ClusterMedian,1,0.3076291084289551
ClusterMedian,2,0.2912790775299072
ClusterMedian,3,0.29765820503234863
ClusterMedian,4,0.31159090995788574
ClusterMedian,5,0.35527515411376953
ClusterMedian,6,0.3855128288269043
RandomDataPoint,1,0.311798095703125
RandomDataPoint,2,0.32131314277648926
RandomDataPoint,3,0.38124799728393555
RandomDataPoint,4,0.3543260097503662
RandomDataPoint,5,0.3154261112213135
RandomDataPoint,6,0.33586788177490234
Random,1,0.2787740230560303
Random,2,0.2703261375427246
Random,3,0.2749488353729248
Random,4,0.28997111320495605
Random,5,0.3010060787200928
Random,6,0.3347311019897461
